func_provider,func_mem,file_size,src_provider,dest_provider,same_region,upload_time,download_time
aws,128,0,unknown,unknown,True,0,0
aws,256,1KB,aws,aws,True,3.081,10.439
aws,256,1KB,gcp,gcp,True,0.691,0.121
aws,256,1KB,aws,aws,True,0.529,0.446
aws,512,1KB,aws,aws,True,0.801,4.397
aws,512,1KB,gcp,gcp,True,0.261,0.076
aws,512,1KB,aws,aws,True,0.182,0.078
aws,1024,1KB,aws,aws,True,0.602,2.764
aws,1024,1KB,gcp,gcp,True,0.188,0.071
aws,1024,1KB,aws,aws,True,0.195,0.107
aws,2048,1KB,aws,aws,True,0.272,1.549
aws,2048,1KB,gcp,gcp,True,0.165,0.15
aws,2048,1KB,aws,aws,True,0.065,0.078
gcp,128,0,unknown,unknown,True,0,0
gcp,128,1KB,gcp,gcp,True,1.499,0.399
gcp,128,1KB,aws,aws,True,1.473,2.81
gcp,256,1KB,aws,aws,True,0.587,0.503
gcp,256,1KB,gcp,gcp,True,0.405,0.188
gcp,256,1KB,aws,aws,True,0.46,0.404
gcp,512,1KB,aws,aws,True,0.205,0.181
gcp,512,1KB,gcp,gcp,True,0.108,0.102
gcp,512,1KB,aws,aws,True,0.198,0.166
gcp,1024,1KB,aws,aws,True,0.285,0.166
gcp,1024,1KB,gcp,gcp,True,0.104,0.055
gcp,1024,1KB,aws,aws,True,0.193,0.179
gcp,2048,1KB,aws,aws,True,0.198,0.172
gcp,2048,1KB,gcp,gcp,True,0.119,0.041
gcp,2048,1KB,aws,aws,True,0.218,0.162
aws,128,0,unknown,unknown,True,0,0
aws,128,1MB,gcp,gcp,True,4.638,4.378
aws,128,0,unknown,unknown,True,0,0
aws,128,1MB,gcp,gcp,True,4.877,5.078
aws,128,0,unknown,unknown,True,0,0
aws,128,1MB,gcp,gcp,True,4.26,1.98
aws,128,0,unknown,unknown,True,0,0
aws,128,1MB,gcp,gcp,True,5.299,1.881
aws,128,0,unknown,unknown,True,0,0
aws,128,1MB,gcp,gcp,True,4.254,2.41
aws,128,0,unknown,unknown,True,0,0
aws,128,1MB,gcp,gcp,True,4.94,4.338
aws,128,0,unknown,unknown,True,0,0
aws,128,1MB,gcp,gcp,True,4.579,2.001
aws,128,0,unknown,unknown,True,0,0
aws,128,1MB,gcp,gcp,True,5.139,2.042
aws,128,0,unknown,unknown,True,0,0
aws,128,1MB,gcp,gcp,True,3.742,2.178
aws,128,0,unknown,unknown,True,0,0
aws,128,1MB,gcp,gcp,True,6.261,4.239
aws,128,0,unknown,unknown,True,0,0
aws,128,1MB,gcp,gcp,True,4.211,1.982
aws,128,0,unknown,unknown,True,0,0
aws,128,1MB,gcp,gcp,True,5.079,9.978
aws,128,0,unknown,unknown,True,0,0
aws,128,1MB,gcp,gcp,True,4.938,5.119
aws,128,0,unknown,unknown,True,0,0
aws,128,1MB,gcp,gcp,True,5.038,3.041
aws,128,0,unknown,unknown,True,0,0
aws,128,1MB,gcp,gcp,True,4.642,7.199
aws,256,1MB,aws,aws,True,2.139,16.181
aws,256,1MB,gcp,gcp,True,1.1,1.04
aws,256,1MB,aws,aws,True,0.815,0.851
aws,256,1MB,gcp,gcp,True,0.497,1.602
aws,256,1MB,aws,aws,True,0.569,0.688
aws,256,1MB,gcp,gcp,True,0.379,0.781
aws,256,1MB,aws,aws,True,0.776,0.601
aws,256,1MB,gcp,gcp,True,0.441,0.522
aws,256,1MB,aws,aws,True,0.574,0.355
aws,256,1MB,gcp,gcp,True,0.36,0.58
aws,256,1MB,aws,aws,True,0.54,0.461
aws,256,1MB,gcp,gcp,True,0.499,0.599
aws,256,1MB,aws,aws,True,0.485,0.5
aws,256,1MB,gcp,gcp,True,0.393,0.379
aws,256,1MB,aws,aws,True,0.698,0.502
aws,256,1MB,gcp,gcp,True,0.422,0.429
aws,256,1MB,aws,aws,True,0.361,0.503
aws,256,1MB,gcp,gcp,True,0.338,0.262
aws,256,1MB,aws,aws,True,0.47,0.287
aws,256,1MB,gcp,gcp,True,0.518,0.374
aws,256,1MB,aws,aws,True,0.422,0.505
aws,256,1MB,gcp,gcp,True,0.48,0.401
aws,256,1MB,aws,aws,True,0.359,0.281
aws,256,1MB,gcp,gcp,True,0.263,0.204
aws,256,1MB,aws,aws,True,0.421,0.24
aws,256,1MB,gcp,gcp,True,0.437,0.398
aws,256,1MB,aws,aws,True,0.305,0.296
aws,256,1MB,gcp,gcp,True,0.26,0.201
aws,256,1MB,aws,aws,True,0.445,0.327
aws,256,1MB,gcp,gcp,True,0.232,0.299
aws,512,1MB,aws,aws,True,1.221,6.537
aws,512,1MB,gcp,gcp,True,0.595,0.595
aws,512,1MB,aws,aws,True,0.505,0.564
